channel,video,tesla,ev,electric,battery,looks,time,charging,range,price,use
Now You Know,14,0,0,0,0,0,0,0,0,0,0
Now You Know,15,0,0,0,0,0,0,0,0,0,-1
Now You Know,16,-3,0,0,-2,0,-3,0,0,0,-2
Now You Know,17,-1,0,-1,-1,0,-2,0,0,0,0
Now You Know,18,-5,0,0,0,0,-1,0,0,0,0
Now You Know,19,-1,0,-1,-4,0,-1,0,0,0,0
Now You Know,20,0,0,0,0,0,0,0,0,0,0
Now You Know,21,-1,0,-1,0,0,0,0,0,0,1
Now You Know,22,-3,0,0,0,0,-1,0,0,0,0
Now You Know,23,0,0,0,0,0,-2,0,0,0,-1
Now You Know,24,-5,-2,-3,-6,-1,-4,0,0,-3,-2
Now You Know,25,-1,0,1,0,-1,-1,0,0,-1,0
Now You Know,26,0,0,0,0,0,0,0,0,0,0
Now You Know,27,-34,-1,-1,-2,0,-4,0,0,0,0
Now You Know,28,-1,0,0,0,0,-1,0,0,0,0
Now You Know,29,1,0,0,0,0,0,0,0,0,0
Now You Know,30,-4,0,0,0,0,0,0,0,0,0
Now You Know,31,0,0,0,0,0,0,0,0,0,0
Now You Know,32,-2,0,0,0,0,-2,0,0,0,0
Now You Know,33,0,0,0,0,0,0,0,0,0,0
Now You Know,34,-4,0,0,0,0,-1,0,0,0,0
Now You Know,35,-1,0,0,0,0,-2,0,0,0,0
Now You Know,36,0,0,0,0,0,0,0,0,0,0
Now You Know,37,0,0,0,0,0,0,0,0,0,0
Now You Know,38,0,0,0,0,0,1,0,0,0,0
Now You Know,39,0,0,0,0,0,-1,0,0,0,-1
Now You Know,40,-1,0,0,0,0,0,0,0,0,0
Now You Know,41,0,0,0,0,0,0,0,0,1,-1
Now You Know,42,0,0,0,0,0,1,0,0,0,0
Now You Know,43,-4,0,-1,0,0,0,0,0,1,0
Now You Know,44,0,0,0,0,0,0,0,0,0,0
Now You Know,45,-1,0,0,0,0,0,0,0,0,0
Now You Know,46,1,0,-1,2,-1,0,0,0,-1,-1
Now You Know,47,-3,0,-1,0,0,0,0,0,-1,-1
Now You Know,48,0,0,0,0,0,0,0,0,0,1
Now You Know,49,0,0,1,0,0,0,0,0,0,0
Now You Know,50,4,0,0,0,0,0,0,0,0,0
Now You Know,51,-1,0,0,0,0,0,0,0,0,0
Now You Know,52,-2,0,0,0,0,-1,0,0,0,0
Now You Know,53,-1,0,0,0,0,0,0,0,0,0
Now You Know,54,1,0,0,0,0,0,0,0,0,0
Now You Know,55,0,0,0,0,0,0,0,0,0,0
Now You Know,56,-2,0,0,0,0,0,0,0,0,0
E for Electric,1,-2,0,0,0,0,0,0,0,0,0
E for Electric,2,0,-1,0,0,0,0,0,0,0,0
E for Electric,3,-3,0,0,0,0,-1,0,0,0,0
E for Electric,4,-1,0,0,0,0,0,0,0,0,0
E for Electric,5,-2,0,0,0,0,0,0,1,0,0
E for Electric,6,-1,0,0,0,0,0,0,0,0,0
E for Electric,7,-3,0,0,1,0,0,0,-1,0,0
E for Electric,8,-4,0,0,0,0,0,0,0,0,0
E for Electric,9,1,0,0,0,0,0,0,0,0,0
E for Electric,10,-3,0,0,0,0,0,0,0,0,0
E for Electric,11,0,0,0,-1,0,0,0,0,0,0
E for Electric,12,-4,0,0,0,0,0,0,0,0,-1
E for Electric,13,-1,0,0,0,0,0,0,0,0,0
E for Electric,14,-22,-2,0,0,0,0,0,0,0,0
E for Electric,15,-4,0,0,0,0,-4,0,0,0,0
E for Electric,16,-7,0,0,0,0,-5,0,0,0,0
E for Electric,17,-7,0,0,0,0,0,0,0,0,-1
E for Electric,18,-8,0,0,0,0,0,0,0,0,-2
E for Electric,19,-22,0,1,-2,-1,0,0,-2,1,0
E for Electric,20,-1,0,0,-1,0,1,0,0,0,0
E for Electric,21,-1,0,0,-1,0,0,0,0,0,0
E for Electric,22,-10,0,0,0,0,-1,1,-1,0,0
E for Electric,23,0,0,0,0,0,0,0,0,0,0
E for Electric,24,-1,1,0,-5,0,0,0,-1,0,0
E for Electric,25,-1,0,0,0,0,0,0,0,1,0
E for Electric,26,0,0,0,0,0,0,0,0,0,0
E for Electric,27,0,0,-1,0,0,0,0,0,0,0
