channel,video,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity
Bjorn Nyland,17,0,-37,0,0,0,-37,0,0,0,0
Bjorn Nyland,18,0,0,0,0,0,-5,0,0,0,0
Bjorn Nyland,19,-21,0,0,-21,0,0,0,0,0,0
Bjorn Nyland,20,-9,0,0,0,0,0,0,0,0,0
Bjorn Nyland,21,-4,0,-4,-4,0,0,0,0,0,0
Bjorn Nyland,22,-50,-50,0,-50,0,0,0,0,0,0
Bjorn Nyland,23,0,-12,0,-12,0,0,0,0,0,0
Bjorn Nyland,24,-17,-17,-17,-17,-17,0,0,0,0,-17
Bjorn Nyland,25,-9,-9,-9,0,0,0,0,0,0,0
Bjorn Nyland,26,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,1,-17,-17,-17,-17,-17,-17,0,0,0,-17
Electric Vehicle Man,2,-20,0,0,-20,0,-20,0,0,0,0
Electric Vehicle Man,3,-109,-109,-109,0,-109,0,0,0,0,0
Electric Vehicle Man,4,-27,0,0,0,0,0,-27,0,0,0
Electric Vehicle Man,5,-249,-249,-249,0,0,0,0,0,0,0
Electric Vehicle Man,6,0,0,0,-44,-44,0,-44,0,0,-44
Electric Vehicle Man,7,-98,-98,0,-98,-98,0,0,0,0,0
Electric Vehicle Man,8,0,0,0,-136,-136,0,-136,0,0,0
Electric Vehicle Man,9,-69,-69,-69,-69,0,0,0,0,0,0
Electric Vehicle Man,10,-63,-63,-63,0,-63,0,0,0,0,0
Electric Vehicle Man,11,-477,0,-477,0,0,0,-477,0,0,0
Electric Vehicle Man,12,-125,0,-125,-125,-125,0,-125,0,0,0
Electric Vehicle Man,13,-73,-73,-73,-73,0,0,0,0,0,0
Electric Vehicle Man,14,-64,-64,-64,-64,-64,0,0,0,0,0
Electric Vehicle Man,15,-64,-64,-64,-64,0,-64,-64,0,0,0
Electric Vehicle Man,16,-38,-38,-38,0,0,0,0,0,0,0
Electric Vehicle Man,17,-37,0,-37,-37,-37,0,0,0,0,0
Electric Vehicle Man,18,-88,-88,-88,-88,-88,0,-88,0,0,0
Electric Vehicle Man,19,-93,-93,-93,-93,-93,0,-93,0,0,0
Electric Vehicle Man,20,-53,0,-53,-53,0,0,0,0,0,0
Electric Vehicle Man,21,-194,0,-194,0,-194,0,0,0,0,0
Electric Vehicle Man,22,-97,-97,0,-97,0,-97,0,0,0,0
Electric Vehicle Man,23,-155,0,-155,-155,-155,0,0,0,0,0
Electric Vehicle Man,24,-58,-58,-58,0,0,0,0,0,0,0
Electric Vehicle Man,25,0,-151,0,-151,-151,-151,-151,0,0,0
Electric Vehicle Man,26,-114,-114,0,0,0,0,0,0,0,0
Electric Vehicle Man,27,0,0,0,-55,-55,0,-55,0,0,0
Electric Vehicle Man,28,0,0,0,-98,-98,0,0,0,0,-98
Electric Vehicle Man,29,-298,-298,-298,-298,-298,0,0,0,0,0
Electric Vehicle Man,30,-68,-68,-68,-68,-68,0,-68,0,0,0
Electric Vehicle Man,31,-7,-7,-7,-7,-7,0,-7,0,0,0
Electric Vehicle Man,32,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,33,-10,-10,-10,-10,-10,0,0,0,0,-10
Electric Vehicle Man,34,0,-11,-11,-11,-11,0,0,0,0,0
Electric Vehicle Man,35,-5,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,36,0,-7,-7,-7,0,-7,-7,0,0,0
Electric Vehicle Man,37,-8,-8,-8,-8,-8,-8,-8,0,0,-8
Now You Know,1,0,0,-206,0,0,0,0,-206,0,0
Now You Know,2,-871,-871,-871,-871,-871,-871,-871,-871,-871,-871
Now You Know,3,-115,-115,-115,-115,-115,0,-115,-115,-115,0
Now You Know,4,-57,-57,-57,-57,-57,0,0,-57,0,0
Now You Know,5,-90,-90,0,-90,0,0,-90,-90,0,0
Now You Know,6,0,-38,0,0,-38,0,-38,0,0,0
Now You Know,7,0,0,0,0,0,0,0,0,0,0
Now You Know,8,-92,0,-92,-92,-92,0,0,-92,-92,0
Now You Know,9,0,0,0,0,0,0,0,0,0,0
Now You Know,10,-95,0,-95,0,-95,0,0,0,0,0
Now You Know,11,-65,-65,-65,0,0,0,0,0,0,-65
Now You Know,12,-92,-92,-92,-92,-92,-92,0,0,0,0
Now You Know,13,-26,-26,0,0,0,0,0,0,0,0
Now You Know,14,0,-66,0,0,0,0,0,0,0,0
Now You Know,15,-39,-39,-39,0,0,-39,0,0,0,0
Now You Know,16,-740,-740,-740,0,0,0,0,0,0,0
Now You Know,17,-223,-223,-223,-223,-223,0,0,-223,0,-223
Now You Know,18,-284,-284,0,-284,0,0,-284,0,0,0
Now You Know,19,-332,-332,0,-332,-332,0,0,0,0,0
Now You Know,20,-26,-26,0,0,0,0,0,0,0,0
Now You Know,21,-194,-194,-194,0,0,0,0,0,0,-194
Now You Know,22,0,-345,0,0,0,0,-345,0,0,0
Now You Know,23,-121,-121,0,-121,0,0,0,0,0,-121
Now You Know,24,0,-1080,0,0,0,-1080,0,0,0,0
Now You Know,25,0,-203,0,-203,0,0,0,-203,0,0
Now You Know,26,0,0,0,-78,-78,0,-78,0,0,0
Now You Know,27,0,-632,0,0,0,0,0,0,0,0
Now You Know,28,0,-96,0,0,0,0,0,0,0,0
Now You Know,29,0,0,0,0,0,0,0,0,0,0
Now You Know,30,0,-108,0,0,0,0,0,0,0,0
Now You Know,31,-69,-69,-69,-69,-69,0,-69,-69,-69,0
Now You Know,32,0,-134,0,0,0,0,0,0,0,-134
Now You Know,33,0,-32,0,-32,0,0,-32,0,0,0
Now You Know,34,0,-156,0,0,0,0,0,0,0,0
Now You Know,35,0,-124,0,0,0,0,-124,0,0,0
Now You Know,36,0,-202,0,0,0,0,0,0,0,0
Now You Know,37,0,-82,0,0,0,0,0,-82,0,0
Now You Know,38,0,-74,0,0,0,0,0,0,0,0
Now You Know,39,0,-84,0,0,0,0,0,0,0,0
Now You Know,40,0,-56,0,0,0,0,0,0,0,-56
Now You Know,41,-177,-177,-177,-177,0,0,-177,0,0,0
Now You Know,42,0,-123,0,-123,0,0,-123,0,-123,0
Now You Know,43,0,-254,0,0,0,-254,-254,0,0,0
Now You Know,44,0,-31,0,0,0,0,0,0,0,0
Now You Know,45,0,-57,0,0,0,0,0,0,0,0
Now You Know,46,-271,-271,0,0,0,0,0,0,0,0
Now You Know,47,0,-219,0,0,0,0,0,0,0,0
Now You Know,48,0,-61,0,0,0,0,0,0,0,0
Now You Know,49,0,-165,0,0,0,0,-165,0,0,0
Now You Know,50,-23,-23,-23,-23,-23,0,-23,0,0,0
Now You Know,51,-57,-57,0,0,0,0,0,0,0,0
Now You Know,52,0,-43,0,0,0,0,-43,0,0,0
Now You Know,53,0,-28,0,0,0,0,0,0,0,0
Now You Know,54,0,-63,0,-63,0,0,0,0,0,0
Now You Know,55,0,-42,0,0,0,0,0,0,0,0
Now You Know,56,0,-61,0,0,0,0,0,0,0,0
E for Electric,1,-23,-23,-23,-23,0,0,-23,0,0,0
E for Electric,2,0,-23,-23,-23,0,0,0,0,-23,0
E for Electric,3,0,-59,-59,-59,-59,0,0,0,-59,0
E for Electric,4,-92,-92,-92,-92,0,0,0,-92,0,0
E for Electric,5,-18,-18,-18,-18,0,0,-18,0,0,0
E for Electric,6,-47,-47,-47,-47,0,0,-47,-47,-47,-47
E for Electric,7,-38,-38,-38,-38,0,0,-38,0,0,0
E for Electric,8,0,-122,-122,0,0,0,0,-122,0,0
E for Electric,9,-13,-13,-13,-13,0,0,-13,0,0,0
E for Electric,10,-21,-21,-21,-21,0,0,-21,0,0,-21
E for Electric,11,-14,0,-14,-14,-14,0,0,0,0,-14
E for Electric,12,0,-66,-66,0,0,0,0,0,0,0
E for Electric,13,-110,-110,-110,-110,0,-110,-110,-110,-110,0
E for Electric,14,-592,-592,0,-592,-592,-592,-592,-592,-592,0
E for Electric,15,-147,-147,-147,-147,-147,0,0,0,-147,0
E for Electric,16,0,-336,0,-336,0,0,0,-336,0,0
E for Electric,17,-297,-297,-297,-297,0,0,0,0,0,0
E for Electric,18,0,-198,-198,-198,-198,0,0,0,0,0
E for Electric,19,-516,-516,-516,-516,-516,0,0,0,-516,-516
E for Electric,20,-98,-98,-98,-98,-98,0,-98,0,-98,-98
E for Electric,21,-28,-28,-28,-28,-28,0,0,0,-28,0
E for Electric,22,-228,-228,-228,-228,0,0,-228,-228,-228,0
E for Electric,23,-4,-4,-4,-4,-4,-4,-4,0,-4,0
E for Electric,24,0,0,0,0,0,0,0,0,0,0
E for Electric,25,-27,-27,-27,-27,-27,0,0,0,0,0
E for Electric,26,0,0,0,0,0,0,0,0,0,0
E for Electric,27,-13,-13,-13,-13,-13,0,-13,0,-13,-13
