Entity,Label,Avg_Sentiment,Sentiment_Category
NY,LOC,0.604,Positive
The,LOC,0.684,Positive
ElectraMeccanica,ORG,0.606,Positive
Montana,LOC,0.555,Neutral
Wisconsin,LOC,0.685,Positive
Eli,PER,0.524,Neutral
Hu,MISC,0.623,Positive
Joe Biden,PER,0.628,Positive
Elio Motors,ORG,0.53,Neutral
Reg,ORG,0.577,Neutral
New York City,LOC,0.637,Positive
Arcimoto,MISC,0.864,Very Positive
Toronto,LOC,0.766,Positive
Vancouver,LOC,0.661,Positive
Arc,PER,0.69,Positive
Jeep,MISC,0.798,Positive
BT,MISC,0.801,Very Positive
Top Gear,MISC,0.765,Positive
Wuling,MISC,0.62,Positive
Am,MISC,0.731,Positive
Harrogate,LOC,0.723,Positive
Paris,LOC,0.747,Positive
U. K,LOC,0.615,Positive
Harley,MISC,0.671,Positive
Austin,LOC,0.707,Positive
USB,MISC,0.564,Neutral
Smart,MISC,0.775,Positive
South Africa,LOC,0.502,Neutral
Greece,LOC,0.818,Very Positive
Dacia Spring,MISC,0.501,Neutral
Ya,MISC,0.604,Positive
Fiesta,MISC,0.741,Positive
Dacia,ORG,0.632,Positive
Re,MISC,0.585,Neutral
Robin,MISC,0.623,Positive
DC,LOC,0.719,Positive
Sinclair C5,MISC,0.535,Neutral
Holland,LOC,0.608,Positive
Citroen Ami,MISC,0.655,Positive
FCL,ORG,0.847,Very Positive
Congress,ORG,0.48,Neutral
Renault Twizy,MISC,0.708,Positive
Norwegian,MISC,0.686,Positive
Carver,MISC,0.752,Positive
Fiat 500,MISC,0.698,Positive
AD,MISC,0.528,Neutral
Elec,ORG,0.552,Neutral
North America,LOC,0.572,Neutral
Australians,MISC,0.495,Neutral
Wu,MISC,0.628,Positive
USD,MISC,0.428,Neutral
Beetle,MISC,0.769,Positive
Portland,LOC,0.574,Neutral
Oregon,LOC,0.506,Neutral
Carver,PER,0.716,Positive
Da,MISC,0.49,Neutral
Leaf,ORG,0.588,Neutral
Da,ORG,0.509,Neutral
Citroën,ORG,0.66,Positive
Clive Sinclair,PER,0.489,Neutral
Me,ORG,0.47,Neutral
Ioniq,ORG,0.674,Positive
Met,MISC,0.771,Positive
Spanish,MISC,0.717,Positive
Ki,MISC,0.577,Neutral
Soul,MISC,0.623,Positive
Renault Zoe,MISC,0.688,Positive
IRA,ORG,0.664,Positive
Colorado,LOC,0.598,Neutral
Leaf,MISC,0.667,Positive
Ben,PER,0.739,Positive
Tata,MISC,0.505,Neutral
Civic,MISC,0.718,Positive
Ku,PER,0.714,Positive
Dutch,MISC,0.593,Neutral
Microlino,MISC,0.51,Neutral
F - 150,MISC,0.688,Positive
Youtub,ORG,0.549,Neutral
Dacia,MISC,0.567,Neutral
Apple,MISC,0.665,Positive
Arcimo,PER,0.513,Neutral
AC,ORG,0.609,Positive
IC,ORG,0.646,Positive
Audi,ORG,0.596,Neutral
St,MISC,0.541,Neutral
Tokyo,LOC,0.789,Positive
Washington,LOC,0.526,Neutral
Iceland,LOC,0.637,Positive
AutoPilot,ORG,0.785,Positive
AP,ORG,0.679,Positive
Autopilot,ORG,0.656,Positive
Model S,MISC,0.678,Positive
Ki,PER,0.511,Neutral
Kia E,MISC,0.338,Low
Wales,LOC,0.628,Positive
As,ORG,0.704,Positive
FSD,MISC,0.604,Positive
CT,MISC,0.595,Neutral
DCFC,ORG,0.622,Positive
Re,PER,0.656,Positive
MS,MISC,0.692,Positive
Kia,MISC,0.493,Neutral
Model 2,MISC,0.67,Positive
Seattle,LOC,0.667,Positive
Finland,LOC,0.521,Neutral
NHTSA,ORG,0.669,Positive
Auto,MISC,0.688,Positive
Bus,MISC,0.436,Neutral
Ba,PER,0.639,Positive
Minnesota,LOC,0.601,Positive
Ch,ORG,0.63,Positive
Jon,PER,0.661,Positive
Dodge,ORG,0.638,Positive
Su,MISC,0.361,Low
Germans,MISC,0.51,Neutral
Type 2,MISC,0.744,Positive
Aussie,MISC,0.501,Neutral
Honda E,MISC,0.581,Neutral
NACS,ORG,0.727,Positive
Tesla Supercha,MISC,0.726,Positive
Alex,PER,0.586,Neutral
E for Electric,ORG,0.606,Positive
Oz,LOC,0.45,Neutral
Skoda,ORG,0.722,Positive
Koreans,MISC,0.498,Neutral
NAC,ORG,0.668,Positive
ID. 3,MISC,0.397,Low
Cadillac,MISC,0.657,Positive
GT,MISC,0.553,Neutral
Ya,LOC,0.658,Positive
EU,MISC,0.645,Positive
Ryan,PER,0.824,Very Positive
Akira,PER,0.686,Positive
Ni,PER,0.51,Neutral
Victoria,LOC,0.673,Positive
Corsa,MISC,0.71,Positive
GPS,MISC,0.402,Neutral
Cybertruck,MISC,0.676,Positive
Cy,PER,0.679,Positive
Taycan,MISC,0.602,Positive
Ford F150,MISC,0.486,Neutral
Cybert,ORG,0.69,Positive
Charged,ORG,0.841,Very Positive
Cybert,LOC,0.734,Positive
Di,ORG,0.456,Neutral
Mu,ORG,0.49,Neutral
Climate Change,MISC,0.56,Neutral
Republicans,MISC,0.493,Neutral
Bobby,PER,0.572,Neutral
Honda,MISC,0.856,Very Positive
The Netherlands,LOC,0.659,Positive
Europa,LOC,0.607,Positive
Tesla Model Y,MISC,0.597,Neutral
Skoda,MISC,0.624,Positive
Ford Lightning,MISC,0.705,Positive
Cybertru,ORG,0.605,Positive
Starlink,ORG,0.519,Neutral
Op,ORG,0.703,Positive
Shanghai,LOC,0.668,Positive
Ford F - 150,MISC,0.587,Neutral
CT,ORG,0.7,Positive
San Francisco,LOC,0.574,Neutral
Mu,MISC,0.614,Positive
Top Gear,ORG,0.778,Positive
Cy,ORG,0.714,Positive
Truck,ORG,0.809,Very Positive
Tundra,MISC,0.601,Positive
Tu,MISC,0.569,Neutral
Hummer,MISC,0.573,Neutral
Nazi,MISC,0.507,Neutral
Hummer EV,MISC,0.799,Positive
Viking,MISC,0.598,Neutral
Trump,PER,0.606,Positive
Star,MISC,0.546,Neutral
Nevada,LOC,0.51,Neutral
World,MISC,0.603,Positive
Lada,MISC,0.874,Very Positive
R3,MISC,0.689,Positive
Alaska,LOC,0.512,Neutral
La,PER,0.316,Low
Volvo,MISC,0.588,Neutral
LFP,ORG,0.341,Low
La,MISC,0.695,Positive
Ni,MISC,0.586,Neutral
R2,MISC,0.731,Positive
Ni,ORG,0.491,Neutral
Lu,MISC,0.463,Neutral
Europeans,MISC,0.708,Positive
Golf,MISC,0.685,Positive
Volvo EX30,MISC,0.792,Positive
Sa,PER,0.694,Positive
Fi,PER,0.61,Positive
Cha,ORG,0.569,Neutral
Rivian,MISC,0.652,Positive
Reuters,ORG,0.537,Neutral
Renault 5,MISC,0.672,Positive
Ho,PER,0.809,Very Positive
Du,PER,0.493,Neutral
EU,LOC,0.585,Neutral
RA,MISC,0.337,Low
Supercha,MISC,0.561,Neutral
Land Rover,ORG,0.541,Neutral
Range Rover,MISC,0.539,Neutral
R1,MISC,0.772,Positive
Vehicle,MISC,0.59,Neutral
SMC,ORG,0.587,Neutral
Google,ORG,0.542,Neutral
Star Trek,MISC,0.505,Neutral
Euro,MISC,0.554,Neutral
FL,LOC,0.71,Positive
3D,MISC,0.754,Positive
Uber,ORG,0.593,Neutral
Sc,PER,0.558,Neutral
Tesla Roadster,MISC,0.589,Neutral
Apollo,MISC,0.526,Neutral
Bluetooth,MISC,0.681,Positive
NZ,LOC,0.615,Positive
NCAP,MISC,0.593,Neutral
Denmark,LOC,0.775,Positive
anti,MISC,0.371,Low
Tesla 3,MISC,0.541,Neutral
Roadster,MISC,0.581,Neutral
Corvette,MISC,0.719,Positive
CT,LOC,0.51,Neutral
CC,ORG,0.528,Neutral
EV,ORG,0.608,Positive
Nissan,ORG,0.551,Neutral
Range Rover,ORG,0.348,Low
IKEA,ORG,0.656,Positive
IP,ORG,0.515,Neutral
Sal,PER,0.779,Positive
Southern California,LOC,0.663,Positive
AN,ORG,0.421,Neutral
City,LOC,0.706,Positive
Zap,ORG,0.588,Neutral
VW Beetle,MISC,0.611,Positive
Bangkok,LOC,0.612,Positive
Di,MISC,0.581,Neutral
CF,MISC,0.589,Neutral
Chevy,MISC,0.603,Positive
Stellanti,ORG,0.497,Neutral
PS,ORG,0.644,Positive
Mo,PER,0.668,Positive
Tesla S,MISC,0.613,Positive
Rex,MISC,0.703,Positive
Lucid,ORG,0.565,Neutral
ADAS,MISC,0.781,Positive
Munro,PER,0.51,Neutral
Matt,PER,0.764,Positive
Korea,LOC,0.513,Neutral
Korean,MISC,0.531,Neutral
Volvo V70,MISC,0.636,Positive
Kona,MISC,0.684,Positive
Ko,PER,0.604,Positive
Ioniq5,MISC,0.757,Positive
Kia,ORG,0.384,Low
Hyundai,MISC,0.605,Positive
Model T,MISC,0.506,Neutral
TFL,ORG,0.449,Neutral
In,ORG,0.644,Positive
KIA,ORG,0.369,Low
ID,MISC,0.589,Neutral
Polo,MISC,0.636,Positive
Dacia,LOC,0.409,Neutral
Henry Ford,PER,0.537,Neutral
Ki,ORG,0.538,Neutral
MEB,ORG,0.461,Neutral
Samsung,ORG,0.475,Neutral
Seat Mii,MISC,0.69,Positive
Cup,PER,0.365,Low
Cupra,MISC,0.565,Neutral
Wyoming,LOC,0.566,Neutral
ID3,MISC,0.605,Positive
NIO,ORG,0.617,Positive
Dacia Spring,ORG,0.395,Low
Citroën Ami,MISC,0.724,Positive
Mi,MISC,0.781,Positive
Cupra,ORG,0.524,Neutral
Romania,LOC,0.458,Neutral
Ford Fiesta,MISC,0.787,Positive
VAG,ORG,0.676,Positive
e - Golf,MISC,0.611,Positive
Nissan Leaf,ORG,0.49,Neutral
MG,ORG,0.596,Neutral
VW ID,MISC,0.694,Positive
Zoe,ORG,0.709,Positive
World,LOC,0.814,Very Positive
Sko,ORG,0.775,Positive
VW E,MISC,0.496,Neutral
Mi,ORG,0.352,Low
Neo,MISC,0.521,Neutral
Ya,PER,0.487,Neutral
Pick,MISC,0.619,Positive
Fiat,MISC,0.727,Positive
Up,MISC,0.779,Positive
Kodak,ORG,0.445,Neutral
Le,MISC,0.754,Positive
MG,MISC,0.647,Positive
Ford,MISC,0.613,Positive
Andy,PER,0.789,Positive
Siemens,ORG,0.692,Positive
Munich,LOC,0.723,Positive
BMW iX,MISC,0.52,Neutral
Genesis,ORG,0.652,Positive
Gen,ORG,0.62,Positive
As,PER,0.762,Positive
TV,MISC,0.633,Positive
Charlie,PER,0.758,Positive
Cit,MISC,0.653,Positive
Oli,MISC,0.717,Positive
Alberta,LOC,0.455,Neutral
Citroen,ORG,0.63,Positive
Democratic,MISC,0.653,Positive
Lego,MISC,0.74,Positive
MI,MISC,0.566,Neutral
St,ORG,0.62,Positive
Panda,MISC,0.626,Positive
DS,MISC,0.811,Very Positive
Citroën,MISC,0.332,Low
CarPlay,MISC,0.461,Neutral
Le,ORG,0.604,Positive
Polestar,ORG,0.503,Neutral
FIAT,ORG,0.545,Neutral
FCA,ORG,0.603,Positive
Ki,LOC,0.493,Neutral
Am,PER,0.724,Positive
Car,ORG,0.635,Positive
Am,ORG,0.718,Positive
California,MISC,0.724,Positive
Honda Element,MISC,0.778,Positive
MG4,MISC,0.725,Positive
The,MISC,0.632,Positive
Bon,PER,0.331,Low
Chevy,ORG,0.728,Positive
Subaru,ORG,0.527,Neutral
Audi,MISC,0.554,Neutral
Son,PER,0.362,Low
Birmingham,LOC,0.714,Positive
Ion,ORG,0.647,Positive
Citroen,MISC,0.793,Positive
Zoe,PER,0.605,Positive
Saturn,ORG,0.685,Positive
AM,MISC,0.866,Very Positive
Le,PER,0.504,Neutral
Fi,MISC,0.53,Neutral
Fiat Panda,MISC,0.613,Positive
Bo,ORG,0.543,Neutral
Italy,LOC,0.562,Neutral
McLaren,ORG,0.738,Positive
Plaid,MISC,0.664,Positive
Co,PER,0.49,Neutral
Ford Mustang,MISC,0.531,Neutral
One,MISC,0.601,Positive
Ram,ORG,0.77,Positive
Lamborghini,MISC,0.815,Very Positive
Benz,ORG,0.518,Neutral
Heaven,LOC,0.591,Neutral
Po,PER,0.501,Neutral
Jaguar,ORG,0.608,Positive
Pace,MISC,0.735,Positive
Model,MISC,0.572,Neutral
Na,PER,0.448,Neutral
Luc,MISC,0.535,Neutral
Porsche Taycan,MISC,0.655,Positive
Amsterdam,LOC,0.708,Positive
Daily Mail,ORG,0.447,Neutral
Mazda,ORG,0.633,Positive
Lotus,ORG,0.568,Neutral
Oxford,LOC,0.702,Positive
I3,MISC,0.613,Positive
Time,MISC,0.7,Positive
Alpine,MISC,0.352,Low
Ra,PER,0.386,Low
R5,MISC,0.777,Positive
VI,ORG,0.719,Positive
Lexus,MISC,0.692,Positive
Mini E,MISC,0.709,Positive
Philippines,LOC,0.673,Positive
Wuling,ORG,0.737,Positive
Android,MISC,0.65,Positive
New Zealand,LOC,0.518,Neutral
Waymo,ORG,0.723,Positive
Wuling Mini E,MISC,0.585,Neutral
Tesla Cybertruck,MISC,0.55,Neutral
Nissan Sakura,MISC,0.537,Neutral
Ta,PER,0.566,Neutral
Suzuki,ORG,0.67,Positive
UN,ORG,0.512,Neutral
Google,MISC,0.592,Neutral
C +,MISC,0.691,Positive
Mo,MISC,0.573,Neutral
Indonesia,LOC,0.368,Low
James May,PER,0.587,Neutral
Op,PER,0.622,Positive
Road,MISC,0.641,Positive
Sato,PER,0.53,Neutral
Elliott,PER,0.713,Positive
Honda Civic,MISC,0.691,Positive
Jesus,PER,0.51,Neutral
El,MISC,0.538,Neutral
Kona Electric,ORG,0.514,Neutral
Hitler,PER,0.408,Neutral
Honda Fit,MISC,0.796,Positive
Manchester,LOC,0.679,Positive
Ami,MISC,0.508,Neutral
Panasonic,ORG,0.465,Neutral
Nokia,ORG,0.626,Positive
Vauxhall,ORG,0.677,Positive
Grande Panda,MISC,0.615,Positive
Pan,MISC,0.782,Positive
Pandas,MISC,0.709,Positive
Do,PER,0.525,Neutral
Hybrid,MISC,0.664,Positive
CA,ORG,0.602,Positive
Stellantis,ORG,0.566,Neutral
TO,MISC,0.514,Neutral
MG ZS E,MISC,0.749,Positive
Arab,MISC,0.313,Low
Pet,ORG,0.767,Positive
C3,MISC,0.673,Positive
Brazil,LOC,0.499,Neutral
Michael,PER,0.689,Positive
Poland,LOC,0.707,Positive
Oscar,MISC,0.691,Positive
Battery,ORG,0.732,Positive
YouTube,LOC,0.427,Neutral
Mini,ORG,0.612,Positive
VW Golf,MISC,0.511,Neutral
Jeremy Clarkson,PER,0.466,Neutral
NA,ORG,0.723,Positive
EV,MISC,0.647,Positive
non,MISC,0.567,Neutral
Kia Soul,MISC,0.447,Neutral
E - Golf,MISC,0.683,Positive
Cyber,ORG,0.575,Neutral
OEM,ORG,0.572,Neutral
In,MISC,0.733,Positive
ID. 4,MISC,0.714,Positive
ID,ORG,0.514,Neutral
LR,MISC,0.74,Positive
Inverness,LOC,0.783,Positive
Hungary,LOC,0.699,Positive
Tony Seba,PER,0.643,Positive
CATL,ORG,0.572,Neutral
Microsoft,ORG,0.645,Positive
People,MISC,0.698,Positive
MG5,MISC,0.567,Neutral
Honda Cub,MISC,0.625,Positive
Shanghai Customs,ORG,0.65,Positive
Cubs,ORG,0.569,Neutral
Malaysia,LOC,0.53,Neutral
Ba,MISC,0.74,Positive
BR,MISC,0.649,Positive
Starbucks,ORG,0.523,Neutral
eB,ORG,0.772,Positive
Go,PER,0.511,Neutral
Ch,LOC,0.518,Neutral
Nissan Leafs,MISC,0.579,Neutral
Vespa,MISC,0.841,Very Positive
Peru,LOC,0.651,Positive
eBay,MISC,0.578,Neutral
Maddie,PER,0.782,Positive
