,channel,topics,Negative,Neutral,Positive
219,Now You Know,mileage,627,27,228
220,Now You Know,network,4259,181,1428
221,Now You Know,nissan leaf,1251,47,380
222,Now You Know,plug-in hybrid,288,8,65
223,Now You Know,range,4313,189,1255
224,Now You Know,range anxiety,1251,47,380
225,Now You Know,recall,496,19,151
226,Now You Know,rivian,3043,128,1035
227,Now You Know,road trip,1658,57,469
228,Now You Know,self-driving,1447,49,401
229,Now You Know,service center,830,32,198
230,Now You Know,software update,1251,47,380
231,Now You Know,state of charge,1691,72,522
232,Now You Know,supercharger,2339,95,759
233,Now You Know,suv,3304,148,968
234,Now You Know,tax credit,108,7,43
235,Now You Know,tesla,12399,541,3868
236,Now You Know,tesla supercharger,1338,51,424
237,Now You Know,thermal management,162,5,41
238,Now You Know,top speed,463,9,92
239,Now You Know,torque,1687,63,532
240,Now You Know,user interface,125,7,33
241,Now You Know,v2g,259,15,65
242,Now You Know,vehicle-to-grid,259,15,65
243,Now You Know,warranty,2752,121,784
