Content Creator,Playlist ID,Video ID,Positive Comments,Negative Comments,Neutral Comments,Positive %,Negative %,Neutral %,Overall Sentiment,Number of Topics,Topics
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,SEIrM7YvXSE,325,34,141,65.0,6.8,28.2,Positive,3,"range, battery, battery life"
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,fQ8HRntn8c8,138,40,95,50.5,14.7,34.8,Positive,4,"battery, torque, top speed, acceleration"
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,pgSnSSqo_mg,199,59,150,48.8,14.5,36.8,Positive,6,"energy density, range, charging, capacity, battery, range anxiety"
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,WuZ0xq7hm2g,101,18,71,53.2,9.5,37.4,Positive,0,
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,_Qag-AxNPhg,445,69,368,50.5,7.8,41.7,Positive,3,"battery, torque, top speed"
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,vH2MmgiF7gQ,138,16,77,59.7,6.9,33.3,Positive,11,"sport mode, torque, ccs, range, charging, top speed, capacity, battery, range anxiety, charger, acceleration"
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,sFSJDSh1jmE,856,125,800,48.1,7.0,44.9,Positive,7,"tesla, range, charging, fast charging, touchscreen, battery, charger"
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,7p5Uym-YdAc,335,65,284,49.0,9.5,41.5,Positive,7,"cargo space, range, charging, top speed, suv, battery, acceleration"
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,n50tPjzJxXA,189,35,134,52.8,9.8,37.4,Positive,4,"range, battery, sport mode, charging"
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,6k865qo-6mw,168,39,157,46.2,10.7,43.1,Positive,10,"network, tesla, carbon footprint, range, charging, mileage, capacity, battery, charger, acceleration"
Bjorn Nyland,PLqKx2qnB8Xv4rFsIsmw2e1jhYNT-Dux6Z,xJa2CKhSMDY,77,13,49,55.4,9.4,35.3,Positive,9,"tesla, range, charging, degradation, supercharger, charging speed, battery, drag coefficient, charger"
Bjorn Nyland,PLqKx2qnB8Xv4rFsIsmw2e1jhYNT-Dux6Z,zlOwFqUeE5E,17,2,20,43.6,5.1,51.3,Positive,8,"ccs, tesla, range, charging, degradation, supercharger, battery, charger"
Bjorn Nyland,PLqKx2qnB8Xv4rFsIsmw2e1jhYNT-Dux6Z,Rp6kFsbdMX0,23,6,24,43.4,11.3,45.3,Positive,9,"thermal management, bms, ccs, tesla, charging, supercharger, state of charge, battery, charger"
Bjorn Nyland,PLqKx2qnB8Xv4rFsIsmw2e1jhYNT-Dux6Z,M9EzCgiFWxo,20,6,33,33.9,10.2,55.9,Positive,4,"battery, charging, ccs, charger"
Bjorn Nyland,PLqKx2qnB8Xv4rFsIsmw2e1jhYNT-Dux6Z,IVEcn-KOeTc,30,3,19,57.7,5.8,36.5,Positive,6,"thermal management, range, charging, supercharger, battery, charger"
Bjorn Nyland,PLqKx2qnB8Xv4rFsIsmw2e1jhYNT-Dux6Z,puJjrDunU2E,13,4,26,30.2,9.3,60.5,Positive,5,"thermal management, road trip, charging, battery, charger"
Bjorn Nyland,PLqKx2qnB8Xv4rFsIsmw2e1jhYNT-Dux6Z,99PpOwqydMI,63,5,29,64.9,5.2,29.9,Positive,8,"bms, tesla, range, charging, degradation, supercharger, battery, charger"
Bjorn Nyland,PLqKx2qnB8Xv4rFsIsmw2e1jhYNT-Dux6Z,U3nVGULmocs,23,6,19,47.9,12.5,39.6,Positive,10,"ccs, tesla, range, charging, degradation, state of charge, capacity, charging speed, battery, charger"
Bjorn Nyland,PLqKx2qnB8Xv4rFsIsmw2e1jhYNT-Dux6Z,YiL7a7EIDp0,21,7,28,37.5,12.5,50.0,Positive,10,"thermal management, ccs, tesla, range, charging, supercharger, capacity, charging speed, battery, charger"
Bjorn Nyland,PLqKx2qnB8Xv4rFsIsmw2e1jhYNT-Dux6Z,nPlUcyzPhvw,14,3,10,51.9,11.1,37.0,Positive,8,"ccs, tesla, charging, fast charging, warranty, charging speed, battery, charger"
Bjorn Nyland,PLqKx2qnB8Xv4rFsIsmw2e1jhYNT-Dux6Z,GCIDkCOyID0,17,4,16,45.9,10.8,43.2,Positive,8,"ccs, range, charging, supercharger, charging speed, tesla supercharger, battery, charger"
Bjorn Nyland,PLqKx2qnB8Xv75gTigBULlYUYT95jZXWGY,xOoGNXxhnQo,30,3,27,50.0,5.0,45.0,Positive,3,"sedan, tesla, suv"
Bjorn Nyland,PLqKx2qnB8Xv75gTigBULlYUYT95jZXWGY,AWAqVN0_oc0,27,7,16,54.0,14.0,32.0,Positive,3,"sedan, tesla, suv"
Bjorn Nyland,PLqKx2qnB8Xv75gTigBULlYUYT95jZXWGY,9CGqbKvfrzE,15,4,19,39.5,10.5,50.0,Positive,6,"road trip, tesla, range, suv, crossover, battery"
Bjorn Nyland,PLqKx2qnB8Xv75gTigBULlYUYT95jZXWGY,stqbczFH3Ho,15,4,12,48.4,12.9,38.7,Positive,1,tesla
Bjorn Nyland,PLqKx2qnB8Xv75gTigBULlYUYT95jZXWGY,u0dVduz_DFA,33,4,23,55.0,6.7,38.3,Positive,2,"road trip, suv"
Bjorn Nyland,PLqKx2qnB8Xv75gTigBULlYUYT95jZXWGY,8F6M7ZcVVOQ,57,6,44,53.3,5.6,41.1,Positive,3,"sedan, tesla, suv"
Bjorn Nyland,PLqKx2qnB8Xv75gTigBULlYUYT95jZXWGY,W1v7J88-gpA,6,0,7,46.2,0.0,53.8,Positive,2,"byd, suv"
Bjorn Nyland,PLqKx2qnB8Xv4UQsSC5Is-1xLNApnV0_cm,KoW6DnSOGT0,43,2,29,58.1,2.7,39.2,Positive,4,"battery, charging, charging station, kwh"
Bjorn Nyland,PLqKx2qnB8Xv4UQsSC5Is-1xLNApnV0_cm,UetQ86-BIzM,14,4,16,41.2,11.8,47.1,Positive,2,"battery, kwh"
Bjorn Nyland,PLqKx2qnB8Xv4UQsSC5Is-1xLNApnV0_cm,OmJXKzWpMQc,10,1,4,66.7,6.7,26.7,Positive,4,"range, battery, charging, acceleration"
Bjorn Nyland,PLqKx2qnB8Xv4UQsSC5Is-1xLNApnV0_cm,s9wIYbTx-xY,40,22,50,35.7,19.6,44.6,Positive,6,"bmw i3, tesla, charging, degradation, charging station, battery"
Bjorn Nyland,PLqKx2qnB8Xv4UQsSC5Is-1xLNApnV0_cm,jhGUzoaHEAg,20,3,13,55.6,8.3,36.1,Positive,2,"charging, tesla"
Bjorn Nyland,PLqKx2qnB8Xv4UQsSC5Is-1xLNApnV0_cm,a-LrsresGaA,13,2,9,54.2,8.3,37.5,Positive,8,"tesla, range, charging, public charger, capacity, battery, charger, home charging"
Bjorn Nyland,PLqKx2qnB8Xv4UQsSC5Is-1xLNApnV0_cm,TrMZNIs1vDU,14,0,5,73.7,0.0,26.3,Positive,5,"tesla, range, degradation, hybrid, battery"
Bjorn Nyland,PLqKx2qnB8Xv4UQsSC5Is-1xLNApnV0_cm,HRxcIy9Eess,16,2,13,51.6,6.5,41.9,Positive,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,hjd_bHKcG90,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,3LQ8sIGMb4Y,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,rKo6x2RSy_o,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,Dw9IuvJCDbs,21,12,16,42.9,24.5,32.7,Positive,11,"horsepower, charger, tesla, range, charging, suv, handling, capacity, autopilot, battery, kwh"
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,RAevvNIhX6M,24,6,30,40.0,10.0,50.0,Positive,7,"horsepower, sport mode, charging, hybrid, suv, handling, battery"
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,YlINeaP3F3g,124,15,80,56.6,6.8,36.5,Positive,8,"horsepower, ccs, tesla, range, mileage, warranty, battery, charger"
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,UI3NGTVASuk,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,gzTWk_NFntw,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,gMCY2xV-HDg,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,4GA701iuJN4,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,HgI36Ynq4aA,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,mASBKAz7fBQ,30,5,22,52.6,8.8,38.6,Positive,5,"network, degradation, hybrid, warranty, battery"
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,E2XBSuc-jKE,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,HRSIkwzTutQ,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,2KLrvtqyEqY,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,KJ9PWurppCs,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,uV0rp2roHMg,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,cNUnyBJySaI,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,BlTB1h-1lmc,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,0BUtGNmlPTg,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,nwrK4qJRgSQ,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,UtdrXQF6n4s,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,Qy6xjbCIdU4,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,bF9PuvNtlDs,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,GlbBpXr2UOY,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,9E1NI-fehJg,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,4w871kBa1GA,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,UtwaczAr89c,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,oCWUKH3X55Q,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,1_f9Jot2tMQ,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK1K85QpQ4hgvwkrBZlis8MD,dgvQ_MHIQw0,0,0,0,0.0,0.0,0.0,No Comments,0,
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,r8e6uA_XsxU,224,41,169,51.6,9.4,38.9,Positive,9,"bms, tesla, range, battery management system, nissan leaf, degradation, mileage, warranty, battery"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,jTepxmIjt-A,48,4,21,65.8,5.5,28.8,Positive,7,"network, nissan leaf, charging, supercharger, capacity, warranty, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,Jdmz8-ShuDc,99,6,49,64.3,3.9,31.8,Positive,5,"tesla, nissan leaf, charging, battery, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,cwAZK6j5v5A,115,18,90,51.6,8.1,40.4,Positive,6,"network, nissan leaf, charging, chademo, ccs, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,_8yf_F1u2g4,48,10,64,39.3,8.2,52.5,Positive,8,"tesla, range, nissan leaf, charging, degradation, infotainment, state of charge, battery"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,upo7CkjuCZM,89,10,52,58.9,6.6,34.4,Positive,5,"tesla, range, autopilot, battery, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,HDMReL9H8Iw,336,38,278,51.5,5.8,42.6,Positive,4,"range, battery, degradation, network"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,ujEKO1l1e54,85,8,95,45.2,4.3,50.5,Positive,7,"network, range, charging, supercharger, battery, range anxiety, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,X_AO4jN-kNU,84,13,66,51.5,8.0,40.5,Positive,9,"tesla, battery warranty, total cost of ownership, range, nissan leaf, charging, mileage, battery, home charging"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,-mhEtIm3GmU,96,6,48,64.0,4.0,32.0,Positive,7,"tesla, range, charging, over-the-air, battery, battery life, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,1DBR__nqy7g,76,19,46,53.9,13.5,32.6,Positive,13,"network, real-world range, bmw i3, tesla, range, nissan leaf, charging, supercharger, suv, handling, warranty, battery, plug-in hybrid"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,sWWomUjWiKI,51,8,28,58.6,9.2,32.2,Positive,12,"horsepower, ccs, bmw i3, tesla, battery warranty, range, nissan leaf, mileage, instant torque, state of charge, warranty, battery"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,nE7yaiizxxA,43,4,25,59.7,5.6,34.7,Positive,4,"range, battery, charging, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,UPX0R5O3h3E,71,8,56,52.6,5.9,41.5,Positive,7,"network, tesla, range, nissan leaf, charging, battery, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,uju2-IYYBwU,74,10,53,54.0,7.3,38.7,Positive,9,"network, ccs, tesla, range, charging, mileage, battery, charger, home charging"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,-djLiWp9CCs,55,12,27,58.5,12.8,28.7,Positive,4,"range, battery, charging, mileage"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,e8QToP7oMro,185,20,126,55.9,6.0,38.1,Positive,8,"regenerative braking, preconditioning, daily commute, range, hybrid, battery, plug-in hybrid, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,-ZGd7Odw06M,85,13,72,50.0,7.6,42.4,Positive,8,"tesla, incentive, charging, hybrid, suv, bev, battery, plug-in hybrid"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,QbYO9xDU6Ks,146,20,111,52.7,7.2,40.1,Positive,5,"range, charging, touchscreen, battery, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,qP14huHqims,64,9,46,53.8,7.6,38.7,Positive,10,"bmw i3, tesla, battery warranty, total cost of ownership, range, nissan leaf, degradation, mileage, warranty, battery"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,bW7Aovm7esE,149,16,109,54.4,5.8,39.8,Positive,11,"public charging network, network, tesla, incentive, nissan leaf, charging, hybrid, mileage, suv, charger, home charging"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,nN2gXKS8R4A,88,14,86,46.8,7.4,45.7,Positive,2,"battery, tesla"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,u2XjcI3wa0w,54,8,42,51.9,7.7,40.4,Positive,4,"nissan leaf, network, charging, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,mMNHrP9LS68,98,13,72,53.6,7.1,39.3,Positive,4,"capacity, charge time, charging, charger"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,C8aI4en7Nmk,247,25,159,57.3,5.8,36.9,Positive,7,"tesla, range, nissan leaf, charging, battery, charger, acceleration"
Electric Vehicle Man,PLjc2gh_1SxK3qIOtZKVv68oiQbgtv6AVK,89BGXSE_1zc,70,7,30,65.4,6.5,28.0,Positive,9,"charger, network, tesla, range, nissan leaf, charging, state of charge, battery, kwh"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,UPFGbY_df2o,8,2,7,47.1,11.8,41.2,Positive,17,"road trip, network, self-driving, ccs, tesla, range, nissan leaf, charging, supercharger, charging station, hybrid, warranty, autopilot, battery, plug-in hybrid, charger, public charging network"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,2xCI8dO-DBY,30,1,26,52.6,1.8,45.6,Positive,0,
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,xVIF1mqcnlY,6,2,18,23.1,7.7,69.2,Positive,19,"thermal management, horsepower, capacity, nissan leaf, charging, public charger, top speed, fast charging, battery, interior design, tesla, range, battery management system, warranty, charging speed, ccs, charger, hybrid, acceleration"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,2BZ1P0697wU,13,2,2,76.5,11.8,11.8,Positive,6,"incentive, tesla, range, charging, autopilot, charger"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,DVG9TWuZShE,5,0,2,71.4,0.0,28.6,Positive,2,"battery, bev"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,QyvEXzww-28,4,1,4,44.4,11.1,44.4,Positive,9,"horsepower, network, tesla, range, charging, supercharger, suv, crossover, handling"
Electric Vehicle Man,PLjc2gh_1SxK3WKwmReTmSFjf3mjWm4MJZ,ROb4VnnnEtk,7,0,3,70.0,0.0,30.0,Positive,22,"thermal management, horsepower, network, total cost of ownership, mileage, suv, capacity, road trip, charging, public charger, fast charging, battery, public charging network, tesla, range, warranty, ccs, charger, hybrid, supercharger, tesla supercharger, plug-in hybrid"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,3EekRRnkq6o,217,47,158,51.4,11.1,37.4,Positive,4,"range, state of charge, warranty, rivian"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,4n4_8_ppb5I,765,196,717,45.6,11.7,42.7,Positive,24,"network, software update, suv, capacity, rivian, road trip, nissan leaf, charging, fast charging, battery, range anxiety, torque, cargo space, tesla, range, electrify america, warranty, charging speed, ccs, charger, supercharger, state of charge, tesla supercharger, charging availability"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,wRa0XtX49bY,135,22,121,48.6,7.9,43.5,Positive,13,"network, tesla, range, electrify america, charging, charging station, mileage, fast charging, charging speed, rivian, battery, charger, acceleration"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,ZVbYNIpE0Yo,95,30,138,36.1,11.4,52.5,Positive,6,"tesla, range, charging, rivian, battery, charger"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,TalYD7Z3QK8,96,12,56,58.5,7.3,34.1,Positive,6,"network, tesla, charging, hybrid, rivian, battery"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,_Rr2fFp1jzg,68,5,31,65.4,4.8,29.8,Positive,3,"network, tesla, charger"
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,cXZBZWcgAJI,42,9,37,47.7,10.2,42.0,Positive,0,
Now You Know,PLDn5j59RTWJl35aIy5pOVBHvoGgqavrdJ,JUza0fG6y0k,101,11,73,54.6,5.9,39.5,Positive,8,"range, electrify america, charging, fast charging, state of charge, rivian, battery, charger"
